Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bahrain,BHR,39.3,39.2,39.2,39.1,39,38.9,38.8,38.8,38.8,38.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bangladesh,BGD,27.9,27.8,27.8,27.8,27.9,28,28.2,28.4,28.6,28.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Barbados,BRB,41.1,41.3,41.4,41.4,41.5,41.5,41.6,41.6,41.7,41.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Belarus,BLR,50.3,50.2,50.1,49.9,49.8,49.7,49.6,49.5,49.3,49.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Belgium,BEL,34.9,34.5,34,33.4,32.9,32.3,31.7,31.1,30.6,30,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Belize,BLZ,35.8,36.1,36.3,36.6,36.8,37,37.2,37.5,37.7,38,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Benin,BEN,35.1,34.7,34.4,33.9,33.5,33.1,32.6,32.1,31.6,31.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bhutan,BTN,41,41.3,41.6,41.9,42.2,42.4,42.7,42.9,43.1,43.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bolivia,BOL,27.4,27.5,27.6,27.6,27.7,27.8,27.9,28,28.2,28.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bosnia and Herzegovina,BIH,44.7,44.6,44.6,44.5,44.4,44.4,44.3,44.3,44.2,44.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Botswana,BWA,44.8,44.8,44.8,44.8,44.7,44.6,44.5,44.4,44.2,44.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Brazil,BRA,46.1,46.1,45.9,45.8,45.6,45.5,45.4,45.2,45.1,45,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Brunei Darussalam,BRN,44.3,44.5,44.8,45,45.2,45.4,45.7,45.9,46.1,46.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Bulgaria,BGR,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Burkina Faso,BFA,32.8,32.5,32.2,32,31.7,31.5,31.2,31,30.7,30.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Burundi,BDI,37,36.8,36.5,36.3,35.9,35.6,35.3,34.9,34.6,34.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cabo Verde,CPV,46.8,46.6,46.3,46,45.7,45.4,45.1,44.7,44.4,44.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cambodia,KHM,23.9,24,24.1,24.3,24.4,24.6,24.9,25.1,25.4,25.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cameroon,CMR,36.2,36.3,36.3,36.4,36.5,36.5,36.6,36.6,36.7,36.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Canada,CAN,24.6,24.3,24,23.7,23.4,23.1,22.9,22.6,22.4,22.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Caribbean small states,CSS,42.157565563738,42.3998093838781,42.5948265044094,42.7377993768382,42.8875461420484,43.0018757045296,43.153583457378,43.3160241579825,43.4425631507798,43.6005872954479,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Central African Republic,CAF,42.1,42.1,42,41.9,41.8,41.7,41.6,41.5,41.4,41.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Central Europe and the Baltics,CEB,46.3903569305999,46.4539071002001,46.520458756455,46.5827771982905,46.6758399204232,46.7879349834616,46.8818492398451,46.9979336687248,47.0686925735908,47.1728462203924,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Chad,TCD,39.6,39.5,39.3,39.1,38.9,38.7,38.5,38.3,38.1,37.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Chile,CHL,39.3,39.1,38.7,38.3,37.9,37.5,37.1,36.8,36.4,36.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,China,CHN,29.6,29.4,29.2,28.9,28.6,28.3,28,27.8,27.5,27.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Colombia,COL,32,32,31.9,31.8,31.6,31.5,31.3,31.2,31.1,31,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Comoros,COM,36,35.8,35.6,35.3,34.9,34.6,34.2,33.9,33.5,33.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Congo, Dem. Rep.",COD,33.9,34,34,34,34.1,34.1,34.1,34.2,34.2,34.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Congo, Rep.",COG,41.1,41,40.9,40.8,40.6,40.5,40.3,40.1,40,39.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Costa Rica,CRI,38.9,38.9,38.9,38.7,38.6,38.4,38.2,38.1,37.9,37.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cote d'Ivoire,CIV,39,38.8,38.6,38.4,38.2,38,37.8,37.6,37.4,37.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Croatia,HRV,47.4,47.5,47.7,47.8,47.9,48,48.1,48.2,48.3,48.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cuba,CUB,38.8,39,39.1,39.3,39.4,39.5,39.6,39.7,39.8,39.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Cyprus,CYP,33.9,33.6,33.2,32.8,32.4,32.1,31.7,31.4,31.1,30.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Czech Republic,CZE,42,42,41.9,41.9,41.8,41.8,41.7,41.7,41.6,41.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Denmark,DNK,40.9,40.5,40,39.5,38.9,38.3,37.7,37.1,36.5,35.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Djibouti,DJI,37.1,36.9,36.6,36.3,36,35.6,35.3,34.9,34.6,34.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Dominica,DMA,47.9,48,48,48,47.9,47.9,47.8,47.8,47.7,47.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Dominican Republic,DOM,48.4,48.6,48.7,48.8,48.9,48.9,49,49,49.1,49.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Early-demographic dividend,EAR,33.7844479463963,33.8346756587619,33.8144251670515,33.7872992201172,33.7549230104209,33.7838744277794,33.7635552207438,33.7611092248531,33.7996981909321,33.8045923409836,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,East Asia & Pacific,EAS,30.5432742667645,30.4687734053722,30.3853898860189,30.2368469401491,30.0842056766824,29.9589726023701,29.8266919919211,29.7663080229867,29.6402086081026,29.5902687759878,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,East Asia & Pacific (excluding high income),EAP,30.4440043743943,30.3787850162593,30.3027565409799,30.159081945709,30.0128276935206,29.8893160522497,29.754536201289,29.7017581743435,29.5772080711571,29.5398931148015,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,30.4895079752255,30.4232808974649,30.3473722424433,30.202956721975,30.0546317650331,29.9305474451919,29.7937082743248,29.7398528150516,29.6146117505325,29.5765330177798,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Ecuador,ECU,25.5,25.7,25.8,26,26.1,26.3,26.5,26.7,26.9,27.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Egypt, Arab Rep.",EGY,37.9,38,38.1,38.1,38.1,38.1,38.1,38.2,38.2,38.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,El Salvador,SLV,31.8,32,32.1,32.2,32.2,32.3,32.4,32.5,32.6,32.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Equatorial Guinea,GNQ,39,39,38.9,38.8,38.7,38.5,38.4,38.3,38.2,38.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Eritrea,ERI,25,24.9,24.7,24.6,24.4,24.3,24.1,23.9,23.8,23.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Estonia,EST,42,41.8,41.6,41.3,41.1,40.9,40.7,40.5,40.3,40.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Eswatini,SWZ,44.6,44.5,44.4,44.2,43.9,43.7,43.4,43.1,42.8,42.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Ethiopia,ETH,28.3,28.3,28.3,28.2,28,27.9,27.8,27.7,27.5,27.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Euro area,EMU,35.2312442036924,34.7091178589929,34.2171215405962,33.7041996299374,33.2195671467197,32.7402136735578,32.2768825229987,31.8341753146456,31.4091417462757,30.9779040436771,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Europe & Central Asia,ECS,39.6485715912935,39.3125192392349,38.9800032044869,38.6390683519149,38.2974849955549,37.9680003769071,37.6387001558412,37.3213408711475,37.0141890726478,36.714085407674,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Europe & Central Asia (excluding high income),ECA,44.8018012998224,44.5232929731071,44.2236388084547,43.9476456880035,43.637317109012,43.3204710656504,42.9987938852615,42.6732855643415,42.3662749885462,42.0657464365553,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,45.1654769906059,44.9534595334887,44.7239355994252,44.5123387990897,44.2801621034664,44.0407281099419,43.7974103548434,43.5489922559353,43.3103904386568,43.0812967715139,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,European Union,EUU,37.6073995539736,37.218421471806,36.8435154526962,36.4480960707177,36.0788643713884,35.7206224604576,35.3706462337343,35.040672086851,34.7164506919434,34.3986239492976,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Fiji,FJI,35.3,35.7,36.1,36.5,36.9,37.2,37.6,37.9,38.3,38.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Finland,FIN,39,38.6,38.3,37.9,37.6,37.2,36.9,36.6,36.2,35.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Fragile and conflict affected situations,FCS,38.0059304916403,37.9187841255714,37.8246322259831,37.7021467428449,37.5777529246483,37.4385714735145,37.3134017216342,37.2026551885773,37.0801257233476,36.9663586017325,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,France,FRA,31.8,31.4,31.1,30.8,30.5,30.2,29.9,29.6,29.4,29.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Gabon,GAB,38.1,38.1,38,37.9,37.8,37.7,37.6,37.5,37.4,37.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Gambia, The",GMB,39.1,39,38.8,38.7,38.5,38.3,38.1,37.9,37.7,37.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Georgia,GEO,44.3,44.5,44.6,44.6,44.7,44.7,44.6,44.6,44.6,44.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Germany,DEU,34.6,34,33.4,32.8,32.2,31.7,31.2,30.7,30.2,29.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Ghana,GHA,37.9,37.5,37.1,36.6,36.1,35.7,35.2,34.7,34.3,33.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Greece,GRC,34.2,33.8,33.5,33.1,32.7,32.4,32.1,31.8,31.6,31.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Grenada,GRD,45.8,46,46.1,46.2,46.3,46.4,46.4,46.5,46.6,46.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Guatemala,GTM,30.8,31,31.2,31.3,31.5,31.6,31.7,31.9,32,32.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Guinea,GIN,42.9,42.8,42.6,42.3,42.1,41.9,41.6,41.4,41.1,40.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Guinea-Bissau,GNB,39.7,39.6,39.4,39.2,39,38.8,38.6,38.4,38.2,38,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Guyana,GUY,39.8,39.9,39.9,39.9,39.9,39.9,39.9,40,40,40,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Haiti,HTI,41.8,42,42.1,42.2,42.3,42.4,42.5,42.7,42.8,42.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Heavily indebted poor countries (HIPC),HPC,36.2720435418043,36.1718275559453,36.0214908873557,35.8296943446752,35.6203925007921,35.4198292031682,35.2029940117219,35.0056634490866,34.7798017850083,34.5878979631906,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,High income,HIC,33.9678129823966,33.7163473629081,33.5030624147867,33.2424872372299,33.0152518865001,32.78551843187,32.5898708043518,32.4034137864977,32.215325799724,32.0245344729334,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Honduras,HND,33.8,33.9,33.9,33.9,33.9,33.9,33.8,33.9,33.9,33.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Hungary,HUN,48.9,48.8,48.8,48.7,48.6,48.6,48.5,48.5,48.4,48.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Iceland,ISL,31.8,31.3,30.9,30.4,29.8,29.4,28.9,28.4,28,27.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,IDA & IBRD total,IBT,34.2502415361438,34.195921404156,34.0986821413674,33.9722883053232,33.8361360448503,33.7283892825009,33.5940190638806,33.4918409753143,33.3834188827946,33.2947443025433,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,India,IND,31.7,31.7,31.6,31.5,31.4,31.4,31.3,31.2,31.2,31.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Indonesia,IDN,35.5,36,36.4,36.9,37.3,37.9,38.4,39,39.6,40.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Iran, Islamic Rep.",IRN,32.5,32,31.4,30.7,30,29.2,28.4,27.7,27,26.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Iraq,IRQ,47.2,47.4,47.5,47.7,47.8,47.9,47.9,48,48.1,48.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Ireland,IRL,34.9,34.6,34.3,34,33.7,33.4,33.1,32.8,32.6,32.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Israel,ISR,31.2,30.9,30.6,30.3,30.1,29.8,29.6,29.4,29.3,29.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Italy,ITA,38.3,37.7,37.2,36.6,36.1,35.6,35.1,34.7,34.2,33.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Jamaica,JAM,44.3,44.6,44.9,45.1,45.3,45.5,45.7,45.9,46.1,46.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Japan,JPN,32.6,32.5,32.4,32.2,32,31.9,31.8,31.7,31.6,31.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Jordan,JOR,38.5,38.4,38.4,38.4,38.3,38.2,38.1,38,37.9,37.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kazakhstan,KAZ,41.7,41.8,41.9,42,42,42,42,42,42,41.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kenya,KEN,37.1,36.8,36.5,36.1,35.7,35.2,34.7,34.2,33.7,33.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kiribati,KIR,34.5,35.4,36.2,37.1,38,38.8,39.7,40.6,41.5,42.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Korea, Dem. People's Rep.",PRK,26.9,26.9,26.8,26.7,26.7,26.6,26.6,26.6,26.5,26.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Korea, Rep.",KOR,28.1,27.9,27.7,27.6,27.4,27.2,27.1,27,26.8,26.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kuwait,KWT,41.3,41.2,41.2,41.1,41,40.8,40.7,40.7,40.6,40.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kyrgyz Republic,KGZ,39.2,39.4,39.6,39.9,40.1,40.3,40.4,40.6,40.8,40.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Lao PDR,LAO,28.4,28.3,28.3,28.2,28.2,28.2,28.3,28.4,28.4,28.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Late-demographic dividend,LTE,33.6030108270274,33.4683499828848,33.3076990148091,33.0951109126131,32.8660550934767,32.637054757022,32.4015984126323,32.218277717107,31.9760587471334,31.8070930736198,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Latin America & Caribbean,LCN,39.4004337830441,39.4235676782632,39.3177435942872,39.2366297053462,39.0934705286493,39.0044070368335,38.8841701700139,38.7454742804839,38.6327046042832,38.5411219601514,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Latin America & Caribbean (excluding high income),LAC,39.3613846185916,39.3918717808175,39.2870786000581,39.2107027408783,39.0653708214411,38.98757740123,38.8732476144381,38.7305646516725,38.6221877928886,38.5364365539543,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,39.3935400944291,39.4106685614482,39.2980509452437,39.2088722057067,39.0583862692936,38.9647761303693,38.838228027217,38.6929942851749,38.5756774421359,38.4787384107639,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Latvia,LVA,46,45.8,45.6,45.4,45.1,44.9,44.6,44.4,44.2,43.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Least developed countries: UN classification,LDC,34.0336289898933,33.9727031068216,33.8964487812005,33.7863671005272,33.6908301500356,33.6040234778061,33.5408127842835,33.4858863706366,33.4093287906956,33.3530729936304,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Lebanon,LBN,39.4,39.3,39.2,39.1,38.9,38.7,38.6,38.4,38.3,38.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Lesotho,LSO,40.6,40.6,40.6,40.6,40.5,40.5,40.4,40.3,40.2,40.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Liberia,LBR,41.2,41.1,40.9,40.7,40.5,40.3,40,39.8,39.6,39.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Libya,LBY,44.5,44.4,44.2,44,43.8,43.6,43.4,43.2,43,42.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Lithuania,LTU,51,50.7,50.3,50,49.7,49.3,49,48.7,48.4,48,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Low & middle income,LMY,33.9790558605686,33.9258796175372,33.8289356188601,33.7028243271169,33.5665251531407,33.4596829763704,33.3262512653422,33.2254228011128,33.1187490311958,33.0319128403473,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Low income,LIC,35.136190017748,35.0690533443624,34.9389260941208,34.7784980938677,34.6011300307828,34.4160855814171,34.2458786652998,34.0906342249439,33.898763429538,33.7477010340388,..,..
